Search,Title,Description,Skills,Location,Cities,States,Latitude,Longitude,Min_Salary,Max_Salary,Mean_Salary,URL
Data Engineer,Data Engineer,"If you are a Data Engineer, Database Developer, or Database Engineer with experience using Python and Pentaho, please read on!What You Will Be Doing- MySQL data warehouse management and technical ownership- Maintenance of data integration based pipelines- Gather, interpret, present marketing data to aid management in strategic decision makingWhat You Need for this PositionAt Least 2 Years of experience and knowledge of:Must haves:- Python, MySQL, LinuxNice to haves:- Pentaho- Digital Marketing experience- BI tools (Tableau, Looker, Cognos, etc.)So, if you are a Data Engineer, Database Developer, or Database Engineer with experience using Python and Pentaho, please apply today!                                    ","Python, MySQL, Pentaho","Carlsbad, CA",Carlsbad,CA,33.1580933,-117.3505939,80000,120000,100000.0,https://www.cybercoders.com/data-engineer-job-425438
Data Engineer,Data Engineer,"If you are a Data Engineer with experience, please read on!Located in Downtown Seattle, WA we are a rapidly growing start up in the transportation industry. We are looking for a Backend Software Engineer on a team that consolidates, curates and serves all user data for us and our partners. This is a massively scalable, fully-online/real-time data store containing all information about our users.  It fuels the entire business, from promos and incentives, to marketing and ad campaigns; from in-app customer experience to online customer service.  You'll be working closely with the Product and Business Data teams, as well as teams across the company, to collect, scale and serve the business data for all our real-time applications and ad serving.  This system is the most valuable data asset, and it is critical to building the next generation of personalized custom experiences for our users.What's In It for YouWe offer a competitive compensation package including but not limited to:- A highly competetive base salary (DOE)- Full benefits (Medical, Dental, Vision, Life)- Bonuses!- Employee Stock purchase plan, stock options- 401K - Generous PTO/Sick time- Collaborative Culture- Tons of growth potentialWhat You Will Be Doing- Creating and curating bigtables (e.g. HBase, Cassandra) for storing and serving petabytes of data- Building denormalized data models for optimizing access patterns as the business grows- Designing and implementing APIs for controlling data access and serving the business- Building and delivering ETLs and data federation pipelines- Solving complex multi-dimensional business and legal constraints related to onshoring and sharing of data- Evaluating technology stacks for increasing performance, handling large pseudo-analytic queries, and reducing infrastructure costs- Engaging in service capacity and demand planning, software performance analysis, tuning and optimization- Working with product and experience teams to define and prototype feature specifications- Working with business teams to model and serve the data for personalization and user experience customization- Work with infrastructure teams in building and scaling back-end services, as well as performing root cause analysis investigations- Collaborating across stakeholders such as data scientists, application developers, and department heads to deliver a technical solution that meets their unique needs- Participating in code and design reviews to maintain our high development standardsWhat You Need for this PositionAt least 3 Years of professional software development experience, a Bachelor's degree or higher in Computer Science, Computer Engineering or other related field, and knowledge of: - Strong knowledge of data structures, algorithms, distributed systems, and asynchronous architectures- Hands-on coder who has built backend services that handle high volume traffic- Strong understanding of system performance and scaling- Expert in at least 1 of the following languages: Go, C++, Java, Scala, Kotlin.  Expertise with multiple languages is strongly preferredNice to have, but not required, knowledge of: - Hadoop ecosystem (e.g. Spark/Storm/Hbase etc.) or equivalent, data modeling, and using various database methodologies such relational, columnar and NoSQL- Experience with Maching Learning or Data ScienceSo, if you are a Data Engineer with experience, please apply today!                                    ","Go, Python, Java, C#, C++, Scala, Kotlin","Seattle, WA",Seattle,WA,47.6062095,-122.3320708,Unknown,Unknown,Unknown,https://www.cybercoders.com/data-engineer-job-425667
Data Engineer,Data Developer,"If you are a Data Developer with experience, please read on!Top Reasons to Work with Us- HUGE Room for Growth- Great Work/Life Balance/Autonomy- Competitive PayWhat You Will Be DoingProvides consultation and technical expertise regarding database management systems (DBMS), database management tools, and access methodsDesigns, develops, and maintains relational databases for data storage and data miningPerforms data warehouse design and testing, including data design, database architecture, metadata, and repository creationDevelop processes and procedures for entering information into data warehousing systems and for ensuring reliability of information enteredAnalyzes and translates business requirements into a form that can easily be understood by all audiences such as IT, various departments, and managementSeeks continuous improvement in performance of data warehouse and ensure security of dataCommunicates with all levels of management and staff and is a resource regarding the functioning of existing automated systems, departmental operations and interdependenciesCollaborates with teams to ensure the completion of work, timeliness of deliverables and quality controlWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- ETL- SQL- Database Development- Database Design- SDLCWhat's In It for YouFor your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (D.O.E), excellent medical, dental and health benefits and other cool perks.So, if you are a Data Developer with experience, please apply today!                                    ","ETL, SQL, Database Development, Database Design, SDLC","Grinnell, IA",Grinnell,IA,41.74340919999999,-92.7232456,65000,100000,82500.0,https://www.cybercoders.com/data-developer-job-427649
Data Engineer,Data Engineer,"San Jose, CA, US- RELOCATION INCLUDED! Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.If you are a Data Engineer/Applied Researcher with 5+ years of experience, please read on!Based in the San Jose area, we are a fast growing, results driven, and successful Online Services Company that specializes in eCommerce. Due to growth and demand for our services, we are in need of hiring for a Data Scientist who has over 5 years of industry experience and possess strong Hadoop, Spark, Scala, Python, R, machine learning, Data mining, Information Retrieval/Search, and NLP background with a passion for solving problems.Join our small, highly collaborative team who enjoy working on large-scale, challenging and interesting problems. The apps you will work to create and enhance are used by thousands of users on a daily basis. It’s a rare opportunity to work for such an agile and dynamic company that also has the stability and resources backing it that we have.If you are interested in joining a Work Hard Play Hard company that pushes the envelope in global commerce and 100% cares about providing a great working environment for its employees, then apply immediately!Top Reasons to Work with Us- Great salary, bonuses and healthy stock options- Awesome office culture, unlimited PTO- Work with cutting edge technologies on an elite team for a powerhouse company!What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Data Engineer- Applied Research- Hadoop/MapReduce/Spark- Programming (R/Scala/Python/Ruby)- Java Or C++- Data Mining- Machine Learning- Information RetrievalWhat's In It for You- Vacation/PTO- Medical- Dental- Vision- Relocation Assistance- Bonus: 10-20% year-end bonus off base salary- Potential Stock Option- 401(k)So, if you are a Data Scientist with 5+ years of experience, please apply today! Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.                                    ","Applied Research, Hadoop/MapReduce/Spark, Programming (R/Scala/Python/Ruby), Java Or C++, Data Mining, Machine Learning, Information Retrieval","San Jose, CA",San Jose,CA,37.3382082,-121.8863286,Unknown,Unknown,Unknown,https://www.cybercoders.com/data-engineer-job-428943
Data Engineer,Senior Python Data Engineer,"If you are a Senior Python Data Engineer with experience, please read on!Join our fast-paced, innovative team in our Manhattan office to work on our educational platform that's used in schools nationwide and internationally.Apply immediately if you’re eager to work on a product that has millions of users and deeply values their developers! There are tremendous opportunities for growth and you’ll wear a lot of different hats on our collaborative team.What You Will Be DoingA Senior Data Engineer that possesses strong experience with Python will be building the infrastructure necessary to handle our massive user base, solving problems that arise as we scale, and analyzing data as we roll out new features.What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Python- API-Data pipelining and ETL (e.g. Kinesis, Lambda, S3, Luigi)-Distributed computing platforms (e.g. MapReduce)-Data warehousing (e.g. Redshift)- Reporting systems (e.g. Looker, Tableau, Qlikview)Nice to Have:- Machine learning expertiseWhat's In It for You• Competitive Salary• Relocation Assistance and Potential Sponsorship• Great Benefits• Generous PTO/Vacation• Seminars, Training and Professional Development• Advancement Opportunities• Paid Holidays• Direct DepositSo, if you are a Python Data Engineer with experience, please apply today!                                    ","Python, AWS, ETL, Mapreduce, Redshift, Lambda, Looker, Data Engineer","New York City, NY",New York City,NY,40.7127753,-74.0059728,Unknown,Unknown,Unknown,https://www.cybercoders.com/senior-python-data-engineer-job-427622
Data Engineer,Senior Data Engineer,"If you are a Software Engineer with a Top Secret Clearance, please read on! We are a Government Services provider and we work closely with defense, homeland security, veteran affairs, law enforcement, and intelligence agencies to achieve their mission better, faster, and more economically.Top Reasons to Work with Us-Guaranteed Training for Employees -Rapidly growing-Cutting edge technology-We improve the way our Government does business-Small business culture -Financial stability -Creative and Collaborative EnvironmentWhat You Will Be Doing-Apply best software engineering principles and agile engineering methodologies to research, design, develop, and modify application software.-Collaborate with team members and participate in peer reviews with fellow developers to discuss best methods of software development design and implementation.-Communicate openly with the engineering, requirements and test team members.What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Java- Hadoop- Cloudera- MarkLogicWhat's In It for You-Competitive Compensation-Career Advancement-Full Benefits-Telecommute Options-Vacation-401k-Sense of ownershipSo, if you are a Senior Data Engineer with experience, please apply today!                                    ","Java, Hadoop, Cloudera, MarkLogic","Arlington, VA",Arlington,VA,38.8816208,-77.09098089999999,75000,200000,137500.0,https://www.cybercoders.com/senior-data-engineer-job-286154
Data Engineer,Senior Big Data Engineer,"If you are a Senior Big Data Engineer skilled with Python, Scala or Java - please read on!Based in San Jose, CA (near the Westfield Valley Fair), we're a mid-sized security company (~100 people) with recent funding on a mission to ensure the security of many global organizations.  Our solution software is configurable for both local and multinational organizations and has evolved into the lightest, most scalable endpoint solution in the world.Top Reasons to Work with Us1. You'll be working with the latest backend frameworks/libraries!2. Your day to day programming duties will play a huge role in our overall company success, your work will be helping keep enterprise companies around the globe secure!3. We've got a really cool office space in a great location - literally in the middle of tons of restaurants and shops.What You Will Be Doing- Design, Build and Maintain a big data platform using open source technologies such as Hadoop, Spark and ElasticSearch- Translate business requirements into data models, algorithms and processes in order to produce the necessary results from customer data sets- Apply advanced data mining and machine learning techniques to specific domain problems for our next generation solutionWhat You Need for this Position- Bachelors degree in CS/EE- Strong background in Statistics, Math, Data Mining and Machine Learning Algorithms- Experience working with large data sets using tools like Hadoop, MapReduce, Spark and ElasticSearch etc- Working knowledge of RDBMS and NoSQL data back ends- Strong programming experience in languages like Java, Scala or Python- Working knowledge of data analysis and visualization tools like R and Matlab- Experience building end-to-end solutionsWhat's In It for You- HUGE room for career growth, we promote upward movement.- You work will be combating cyber fraud/hacking. - Great office location, plenty of things to do and places to eat on your lunch break / after work. - We're a leading company, with a global presence, fun office environment with very sharp engineers.So, if you are a Big Data Engineer local to the San Jose area - please apply today!                                    ","Hadoop, Mapreduce, SPARK, ElasticSearch, Java, Scala, Python","San Jose, CA",San Jose,CA,37.3382082,-121.8863286,150000,200000,175000.0,https://www.cybercoders.com/senior-big-data-engineer-job-254296
Data Engineer,Senior Data Engineer,"Are you a Senior Data Engineer with Data Pipeline, Python & Machine Learning experience?  If so, read on...We harness the power of machine learning and predictive analytics to discover the fastest-growing companies in the consumer & retail sector.  We want to bring the data-driven revolution that has occurred in the public markets to the private markets, starting with consumer & retail.Our mission is to help entrepreneurs thrive by giving them the resources and capital they need.  We have been named one of the Top 5 Most Disruptive Companies in Finance by CNBC, one of the 50 Best Fintech Innovators by KPMG, and one of America's Most Promising Companies by Forbes.  We are backed by top-tier investors including Google Ventures, Union Square Ventures (backers of Etsy/Kickstarter), and the ex CEOs/Presidents of Goldman Sachs, Morgan Stanley, Thomson Reuters, the Stanford Endowment and Capital One.What You Will Be Doing- Help us scale a complex machine learning data pipeline- Use technologies like Python, Postgres, and apache sparkWhat You Need for this Position- Experience as a Data Engineer- Machine Learning Experience- Python Exp- Worked on large scale data infrastructure (Hadoop Stack, Spark, Kafka, Hive, etc.)- BSCS or Related DegreeWhat's In It for You- Work in a Machine Learning Environment!- Great compensation package- Awesome work environment and friendly team!So if you are a Senior Data Engineer with data pipeline, python & machine learning experience....please apply today!                                    ","Data Pipeline, Python, Machine Learning","San Francisco, CA",San Francisco,CA,37.7749295,-122.4194155,150000,250000,200000.0,https://www.cybercoders.com/senior-data-engineer-job-345840
Data Engineer,Lead Data Engineer,"Are you a Lead Data Engineer with extensive high availability data systems experience ?  If so.....read on!We are an artificial intelligence company with deep expertise in computer vision.  Our mission is to unlock the value of images and videos produced daily across the web, social media and broadcast television.  Since 2008, we have applied our patented capabilities to serve a variety of industries from advertising to professional sports.  Our image recognition technology is used by leading brands!Our data systems ingest 50 TB of new data on a daily basis. To derive meaningful analytics from this ever increasing amount of data, our Data Engineering team leverages the latest, state of the art, Big Data technologies; Spark, Kafka, Druid, Cassandra to name a few. We're now looking for an excellent Lead Data Engineer who will spearhead our effort in turning this ginormous amount of data into actionable and meaningful insights that will directly impact our bottom line!What You Will Be Doing- Lead a team of data engineers to build scalable and highly available data systems using the latest Big Data technologies (Spark, Kafka, Druid etc...)- Write high quality, fault tolerant and maintainable code. Mentor other team members to do so as well.- Evolve in an agile and fast paced environment, interfacing directly with our business and product teams.- Scale our ever growing data platform, ingesting 50TB+ of new data every day. - Go to meetups and conferences about Big Data technologies, and hopefully become a contributor in some of those projectsWhat You Need for this Position- 4+ yrs of experience managing solutions using Java technologies including broad, functional knowledge of common technologies, libraries and patterns.- Worked with Big Data technologies before. (Spark, Druid, Kafka, Cassandra, Elasticsearch...)- Experienced with designing, developing and extending complex distributed systems.- Team player and excellent communicator. You'll be mentoring the rest of the data engineering team, interfacing with our business teams, and talking directly to our business partners.Desired skills:- Excellent knowledge of SQL and relational databases. - Care about our business and our bottom line, and are very eager to help us grow.- Familiar with AWS. - Led a team before.- Experience building web services, and integrating with 3rd parties. - Some knowledge about Ad Tech.What's In It for You- Great Healthcare, Vision, Dental plans- 401k and stock options- Unlimited vacation policy- Competitive Compensation- Yearly Hackathon, fun all-hands (Vegas, Wyoming...) and monthly Happy Hours- Great office, great people, 6 blocks from the beach!So, if you are a Lead Data Engineer with extensive experience in a high availability data systems environment... please apply today!                                    ","SPARK, Kafka, Druid","Santa Monica, CA",Santa Monica,CA,34.0194543,-118.4911912,140000,175000,157500.0,https://www.cybercoders.com/lead-data-engineer-job-383457
Data Engineer,Lead Data Engineer,"If you are a Data Engineer with team leadership experience, please read on!  Based in downtown Boston, we are a leading investment manager with data at the core of everything we do. For over 25 years we have been successful on a global level because of our open and collaborative approach, enthusiastic and talented team, innovative  focus, and great processes.  We are looking for a dynamic Data Engineer to lead our growing Data Engineering Team.Top Reasons to Work with Us- Great benefits and HUGE bonus potential- Flexible environment which leads to a great work life balance- Small company culture!What You Will Be Doing- lead strategy, design, and implementation of data storage and access platforms for quantitative research and production processes- relentlessly search for ways to integrate many different forms of new and innovating data sets- lead and growing a team of data engineers in design and development of data storage and access platforms- coordinating with research teams to offer access to new data sets - developing patterns and a process for on-boarding new data sets that researchers can implement- designing and implementing storage for data across MS SQL, MongoDB, and other future technologies- collaborating in architecture and evolution of data pipeline, from raw data to production- building and owning a data environment that is robust, high-quality, and provides fast accessWhat You Need for this Position- 5+ years of data engineering and architecture experience- Bachelor's degree in Computer Science- experience working with transformation and storage of quantitative financial data- leadership experience and visionary skills to shape and grow a team- desire and drive to advance our data ecosystem- experience working in a Linux environment- understanding of multiple data storage technologies: SQL, My SQL, NoSQL, MongoDB, HDF, and beyond- exposure to ETL or other data pipeline tools is a plus- proficiency working in Python (preferred), JVM, or other non-database-centric programming language- ability and willingness to work in a fast-paced, mission-critical, production environmentWhat's In It for You- Competitive salary with fantastic bonuses and profit sharing!- Great benefits (company paid premiums)- Flexible scheduling and a work / life balance- Small company culture- Onsite gym- Lots of room for growthSo, if you are a Data Engineer with team leadership experience, please apply today!                                    ","MY SQL, MongoDB, Data Warehouse Architecture, Database Architect, NoSQL, Python, ETL, HDF, Financial Services, Data Storage","Boston, MA",Boston,MA,42.3600825,-71.0588801,150000,250000,200000.0,https://www.cybercoders.com/lead-data-engineer-job-387276
